"Index","Original Thai","Source group","Flagged by","Claude score","agy score","Issue","Suggestion","Original locations"
"TH-1179","เครื่องมือ พรอมต์ และข้อกำกับ","PowerPoint เท่านั้น","Claude","3","5","ข้อกำกับ ไม่ใช่คำที่คนไทยใช้ทั่วไปสำหรับ guardrail","ใช้ แนวทางกำกับดูแล หรือ ข้อควรระวัง","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-04"
"TH-1207","เป้าหมายคือหลักยึดในการตัดสินใจ—ข้อมูลอื่นไม่ควรทำให้เจตนาหลักของงานเปลี่ยนไป","PowerPoint เท่านั้น","Claude","3","5","เจตนาหลักของงาน ฟังดูแปลตรงตัวไม่ใช่สำนวนไทยทั่วไป","เปลี่ยนเป็น จุดประสงค์หลักของงาน","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-08"
"TH-1211","เวลา ทีม และมาตรฐานการตีพิมพ์เปลี่ยนวิธีทำงาน แต่ไม่ควรถูกซ่อนไว้","PowerPoint เท่านั้น","Claude","3","5","แต่ไม่ควรถูกซ่อนไว้ กำกวมว่าอะไรไม่ควรถูกซ่อน","ระบุชัดเช่น แต่ไม่ควรปิดบังผลกระทบที่มีต่อวิธีทำงาน","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-10"
"TH-1214","คำถามเฉพาะเรื่องผลหรือการเปรียบเทียบ","PowerPoint เท่านั้น","Claude","3","5","คำถามเฉพาะเรื่องผลหรือการเปรียบเทียบ อ่านแล้วรู้สึกแปลตรงตัวไม่ลื่นไหล","ใช้ คำถามเกี่ยวกับผลลัพธ์หรือการเปรียบเทียบ","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-11"
"TH-1263","เส้นทางเลือกวิธี: ตอบ 5 คำถามก่อนเลือกชื่อวิธีทบทวน","PowerPoint เท่านั้น","Claude","3","5","""เลือกชื่อวิธีทบทวน"" ฟังเหมือนเลือกแค่ชื่อเรียก ไม่ใช่เลือกวิธีการ","เปลี่ยนเป็น ""ตอบ 5 คำถามก่อนเลือกวิธีทบทวนที่เหมาะสม""","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-17"
"TH-1267","ธรรมเนียม แหล่งข้อมูล และมาตรฐาน","PowerPoint เท่านั้น","agy","5","3","คำว่า ธรรมเนียม แปลตรงตัวจาก conventions ซึ่งฟังดูเหมือนประเพณีวัฒนธรรมมากกว่าแนวปฏิบัติในสาขาวิชา","แนวปฏิบัติ แหล่งข้อมูล และมาตรฐาน","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-17"
"TH-1307","9 กลุ่มสาขา = 9 จุดเริ่มค้นที่ต่างกัน","PowerPoint เท่านั้น","agy","5","3","คำว่า จุดเริ่มค้น ดูห้วนไม่เป็นธรรมชาติ","เปลี่ยนเป็น จุดเริ่มต้นค้นหา","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-22"
"TH-1320","ระวัง: ลงทะเบียนโครงร่างล่วงหน้าสำหรับคำถามเฉพาะ และใช้เครื่องมือประเมินความเสี่ยงอคติที่ตรงกับแบบแผนการศึกษา","PowerPoint เท่านั้น","agy","5","3","คำว่า แบบแผนการศึกษา อาจทำให้สับสนกับแผนการเรียน","เปลี่ยนเป็น รูปแบบการวิจัย หรือ รูปแบบการศึกษาวิจัย","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-23"
"TH-1330","ระวัง: ตรวจสอบรุ่นของเทคโนโลยี ความสามารถในการเปรียบเทียบเกณฑ์ทดสอบ คุณภาพของวารสารหรือแหล่งเผยแพร่ และอายุของหลักฐาน","PowerPoint เท่านั้น","Claude","3","5","วลี ความสามารถในการเปรียบเทียบเกณฑ์ทดสอบ กำกวมและมีกลิ่นแปลตรงตัว","ใช้ ความสามารถในการเทียบเคียงผลทดสอบ (benchmark) แทน","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-24"
"TH-1340","วาดแผนที่แหล่งค้นของสาขาตนเอง","PowerPoint เท่านั้น","agy","5","3","คำว่า วาดแผนที่แหล่งค้น เป็นการแปลตรงตัวและใช้คำว่า แหล่งค้น ห้วนเกินไป","เปลี่ยนเป็น จัดทำแผนที่แหล่งค้นคว้าของสาขาตนเอง","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-26"
"TH-1342","ระบุฐานข้อมูลหลัก 2 แห่ง ฐานเฉพาะสาขา 1 แห่ง และแหล่งวรรณกรรมสีเทา 1 แห่ง","PowerPoint เท่านั้น","Claude","3","5","ลักษณนาม แห่ง ไม่เหมาะกับฐานข้อมูล ฟังเหมือนพูดถึงสถานที่","เปลี่ยนเป็น ฐานข้อมูลหลัก 2 ฐาน ฐานเฉพาะสาขา 1 ฐาน และแหล่งวรรณกรรมสีเทา 1 แหล่ง","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-26"
"TH-1348","ถ้าใช้ฐานข้อมูลเดียว งานประเภทใดหรือภูมิภาคใดมีโอกาสหายไป?","PowerPoint เท่านั้น","agy","5","3","คำว่า มีโอกาสหายไป แปลตรงตัวจากภาษาอังกฤษ ไม่ตรงกับสำนวนการวิจัย","เปลี่ยนเป็น มีโอกาสตกสำรวจ หรือ มีโอกาสถูกมองข้าม","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-26"
"TH-1353","6 ระยะที่ต้องเชื่อมต่อกัน","PowerPoint เท่านั้น","agy","5","3","คำว่า เชื่อมต่อกัน ให้ความรู้สึกถึงวัตถุหรืออุปกรณ์","เปลี่ยนเป็น 6 ระยะที่ต้องเชื่อมโยงกัน หรือ 6 ระยะที่ต้องต่อเนื่องกัน","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-28"
"TH-1367","02 · ค้น","PowerPoint เท่านั้น","agy","5","3","คำว่า ค้น ดูห้วนเกินไปเมื่อเป็นชื่อขั้นตอน","เปลี่ยนเป็น 02 · ค้นหา หรือ 02 · การค้นหา","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-30"
"TH-1394","หลักสำคัญ: ความไม่แน่ใจไม่เท่ากับ ‘คัดออก’ ตัวอย่างนี้ใช้เกณฑ์งาน AI ช่วยสอนนักศึกษามหาวิทยาลัยตั้งแต่ปี 2020 และต้องรายงานผลผู้เรียน","PowerPoint เท่านั้น","Claude","3","5","ประโยค ตัวอย่างนี้ใช้เกณฑ์งาน AI ช่วยสอนนักศึกษามหาวิทยาลัยตั้งแต่ปี 2020 กำกวม อ่านเหมือนแปลตรงตัว","ปรับเป็น ตัวอย่างนี้ใช้เกณฑ์ว่าเป็นงานวิจัยเรื่อง AI ช่วยสอนนักศึกษามหาวิทยาลัย ตีพิมพ์ตั้งแต่ปี 2020 และต้องรายงานผลลัพธ์ของผู้เรียน","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-34"
"TH-1400","เครื่องมือช่วยถามเรื่องคุณภาพ ความเสี่ยงอคติ หรือความเชื่อมั่น—ไม่ใช่สิ่งเดียวกัน","PowerPoint เท่านั้น","Claude","3","5","เครื่องหมายขีดกลางทำให้ไม่ชัดว่า ""ไม่ใช่สิ่งเดียวกัน"" ขยายอะไร และ ""เครื่องมือช่วยถามเรื่อง"" ฟังดูแปลตรงตัว","เครื่องมือช่วยตั้งคำถามเรื่องคุณภาพ ความเสี่ยงอคติ หรือความเชื่อมั่น ซึ่งไม่ใช่สิ่งเดียวกัน","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-35"
"TH-1440","ค้นพบ","PowerPoint เท่านั้น","agy","5","3","คำว่าค้นพบสื่อถึงผลวิจัยแทนที่จะเป็นขั้นตอน Identification ในผัง PRISMA","การสืบค้น หรือ การระบุเอกสาร","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-41"
"TH-1443","รายการซ้ำ ระบบอัตโนมัติ และเหตุผลก่อนคัดกรอง","PowerPoint เท่านั้น","Claude","3","5","รายการไม่ขนานกัน ""ระบบอัตโนมัติ"" เป็นคำนามลอยไม่ชัดว่าคัดออกโดยระบบอัตโนมัติ","รายการซ้ำ รายการที่คัดออกโดยระบบอัตโนมัติ และรายการที่คัดออกด้วยเหตุผลอื่นก่อนคัดกรอง","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-41"
"TH-1497","ตรวจว่าเป็นเชิงเส้น เพิ่มหรือลดทิศทางเดียว หรือสัมพันธ์กับลอจิตอย่างไร","PowerPoint เท่านั้น","Claude","3","5","เพิ่มหรือลดทิศทางเดียวกำกวม ไม่ชัดว่าหมายถึง monotonic","ตรวจว่าความสัมพันธ์เป็นเชิงเส้น แปรผันทิศทางเดียว (monotonic) หรือสัมพันธ์กับลอจิตอย่างไร","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-50"
"TH-1520","เลือกเครื่องมือให้ตรงขั้นงาน เก็บที่มาของข้อมูล และใช้ AI เป็นเพียงร่างที่ต้องตรวจ ไม่ใช่ผู้ตัดสินความถูกต้อง","PowerPoint เท่านั้น","agy","5","3","ใช้คำผิดความหมาย AI ไม่ใช่ 'ร่าง' แต่เป็นเครื่องมือช่วยยกร่าง","เลือกเครื่องมือให้ตรงขั้นงาน เก็บที่มาของข้อมูล และใช้ AI เป็นเพียงตัวช่วยยกร่างที่ต้องนำมาตรวจ ไม่ใช่ผู้ตัดสินความถูกต้อง","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-53"
"TH-1535","ข้อกำกับการใช้ AI: 4 ข้อที่ไม่ควรต่อรอง","PowerPoint เท่านั้น","Claude","3","5","ข้อกำกับไม่ใช่คำที่ใช้จริงในภาษาไทย ฟังแปลก","เปลี่ยนเป็น ข้อกำหนดการใช้ AI: 4 ข้อที่ไม่ควรต่อรอง","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-59"
"TH-316","ดูภาพรวมแบบมีลิงก์ไปยังแหล่งอ้างอิงว่า งานวิจัยตอบคำถามภาษาธรรมดาไว้อย่างไร","เว็บไซต์","agy","4","3","คำว่า ภาษาธรรมดา แปลตรงตัวจาก plain language","เปลี่ยน ภาษาธรรมดา เป็น ภาษาทั่วไป หรือ ภาษาธรรมชาติ","app/guide-data.ts:696:78"
"TH-341","เปลี่ยนบันทึกจากการอ่านให้เป็นข้อสังเคราะห์ร่วมกันและต้นฉบับที่ดูแลต่อได้","เว็บไซต์","agy","4","3","คำว่า ต้นฉบับที่ดูแลต่อได้ แปลตรงตัวจาก maintainable manuscript","ปรับเป็น ร่างต้นฉบับที่นำไปพัฒนาต่อได้ง่าย หรือ ร่างต้นฉบับที่พร้อมจัดการต่อ","app/guide-data.ts:714:80"
"TH-615","วางแผนรับความแตกต่างด้านชนิดพันธุ์ ระดับพื้นที่ ภูมิศาสตร์ การวัด และภูมิอากาศ","เว็บไซต์","agy","4","3","ใช้คำว่า วางแผนรับ ซึ่งกำกวมและขัดสำนวนไทย","เปลี่ยนเป็น คำนึงถึงความแตกต่าง หรือ วางแผนรองรับความแตกต่าง","app/i18n.ts:349:16"
"TH-707","กำหนดคำถามที่เชื่อมกัน","เว็บไซต์","agy","4","3","สำนวนห้วนและเหมือนแปลตรงตัวจาก connected questions","กำหนดคำถามวิจัยที่เชื่อมโยงกัน","app/i18n.ts:436:15"
"TH-798","แบบร่างโครงร่าง","เว็บไซต์","agy","4","3","คำว่า แบบร่างโครงร่าง มีความหมายซ้ำซ้อนกัน","โครงร่างฉบับร่าง","app/research-tools.ts:324:596"
"TH-817","ใช้คุณภาพเป็นเกณฑ์คัดเข้าโดยไม่มีเหตุผลในโครงร่าง","เว็บไซต์","agy","4","3","คำว่า โดยไม่มีเหตุผลในโครงร่าง ฟังดูห้วนและแปลตรงตัว","ใช้คุณภาพเป็นเกณฑ์คัดเข้าโดยไม่ได้ระบุเหตุผลไว้ในโครงร่างวิจัย","app/research-tools.ts:326:424"
"TH-840","เริ่มสกัดก่อนแบบฟอร์มนิ่ง","เว็บไซต์","agy","4","3","คำว่า แบบฟอร์มนิ่ง เป็นภาษาพูดเกินไปสำหรับคู่มือวิจัย","เริ่มสกัดข้อมูลก่อนที่แบบฟอร์มจะเสร็จสมบูรณ์","app/research-tools.ts:328:447"
"TH-906","ผลที่ต้องการดู","เว็บไซต์","agy","4","3","ใช้คำว่า ดู ไม่เป็นทางการในบริบทงานวิจัย","ผลลัพธ์ที่ต้องการศึกษา","app/research-tools.ts:372:423"
"TH-909","คำถามว่าคนกลุ่มหนึ่งเผชิญอะไรและรับรู้ผลอย่างไร","เว็บไซต์","agy","4","3","แปลตรงตัวและใช้ภาษาพูดเกินไป","คำถามเกี่ยวกับประสบการณ์และการรับรู้ของกลุ่มเป้าหมาย","app/research-tools.ts:373:97"
"TH-269","การแทรกแซงไม่สุ่ม","เว็บไซต์และ PowerPoint","agy","4","3","การใช้คำว่า ไม่สุ่ม ต่อท้าย การแทรกแซง ดูแปลตรงตัว","การแทรกแซงแบบไม่สุ่ม","app/guide-data.ts:668:10; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-36"
"TH-390","เลือกชื่อวิธีที่กำลังนิยมก่อนกำหนดข้อสรุปที่ต้องการและหลักฐานที่จะใช้","เว็บไซต์และ PowerPoint","agy","4","3","คำว่า ข้อสรุปที่ต้องการ ไม่สอดคล้องกับหัวข้อการตั้งคำถามและแปลคลาดเคลื่อน","เปลี่ยน กำหนดข้อสรุปที่ต้องการ เป็น กำหนดวัตถุประสงค์ หรือ กำหนดคำถามวิจัย","app/guide-data.ts:749:36; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-61"
"TH-1129","วรรณกรรมให้ตัดสินใจได้","PowerPoint เท่านั้น","agy","4","3","ใช้คำว่า วรรณกรรม ลอยๆ โดยไม่มีคำว่า การทบทวน ทำให้สื่อความหมายไม่ชัดเจน","การทบทวนวรรณกรรมเพื่อสนับสนุนการตัดสินใจ","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-01"
"TH-1152","เปลี่ยนหัวข้อกว้างให้เป็นคำถามที่ทบทวนได้","PowerPoint เท่านั้น","agy","4","3","คำว่า คำถามที่ทบทวนได้ แปลตรงตัวจากภาษาอังกฤษ","เปลี่ยนหัวข้อกว้างให้เป็นคำถามวิจัยที่ชัดเจน","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-03"
"TH-1153","อธิบายเหตุผลที่เลือกวิธีทบทวนและข้อแลกเปลี่ยน","PowerPoint เท่านั้น","agy","4","3","คำว่า ข้อแลกเปลี่ยน แปลตรงตัวจาก trade-offs ในบริบทวิชาการนิยมใช้ ข้อดีข้อเสีย หรือ ข้อจำกัด","อธิบายเหตุผลที่เลือกวิธีทบทวนและข้อดีข้อเสีย","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-03"
"TH-1225","จากหัวข้อกว้าง → คำถามที่ทบทวนได้","PowerPoint เท่านั้น","agy","4","3","คำว่า คำถามที่ทบทวนได้ ดูห้วนและแปลตรงตัวจาก reviewable question","จากหัวข้อกว้าง → คำถามวิจัยที่ทบทวนวรรณกรรมได้","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-12"
"TH-1228","1. ระบุการตัดสินใจที่คำถามต้องช่วย","PowerPoint เท่านั้น","agy","4","3","สำนวน การตัดสินใจที่คำถามต้องช่วย แปลตรงตัวและดูไม่เป็นธรรมชาติ","1. ระบุการตัดสินใจที่คำถามวิจัยนี้ต้องการช่วยตอบ","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-12"
"TH-1264","ผลลัพธ์คือวิธีเริ่มต้น + ทางเลือก + ข้อแลกเปลี่ยน ไม่ใช่คำตอบอัตโนมัติ","PowerPoint เท่านั้น","agy","4","3","คำว่า ข้อแลกเปลี่ยน แปลตรงตัวจาก trade-offs ในบริบทของการเปรียบเทียบวิธีวิจัย","ผลลัพธ์คือวิธีเริ่มต้น + ทางเลือก + ข้อดีข้อเสียที่ต้องพิจารณา ไม่ใช่คำตอบอัตโนมัติ","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-17"
"TH-1332","ระวัง: วางแผนรับความแตกต่างด้านชนิดพันธุ์ ระดับพื้นที่ ภูมิศาสตร์ การวัด และภูมิอากาศ","PowerPoint เท่านั้น","agy","4","3","วลี วางแผนรับ อ่านแล้วห้วนและไม่สมบูรณ์ตามหลักภาษาไทย","เปลี่ยนเป็น วางแผนรองรับความแตกต่าง หรือ วางแผนรับมือความแตกต่าง","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-24"
"TH-1339","ระวัง: กำหนดขอบเขตให้ชัด และค้นด้วยคำศัพท์กับฐานข้อมูลจากมากกว่าหนึ่งศาสตร์","PowerPoint เท่านั้น","agy","4","3","คำว่า จากมากกว่าหนึ่งศาสตร์ เป็นสำนวนแปลตรงตัวดูไม่เป็นธรรมชาติ","เปลี่ยนเป็น จากหลากหลายสาขาวิชา หรือ จากมากกว่าหนึ่งสาขาวิชา","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-25"
"TH-1347","แผนที่แหล่งค้นอย่างน้อย 4 แหล่ง พร้อมเหตุผลเลือก","PowerPoint เท่านั้น","agy","4","3","คำว่า แหล่งค้น ดูห้วนเมื่อใช้โดดๆ ในภาษาไทย","เปลี่ยนเป็น แหล่งค้นคว้า หรือ แหล่งค้นหา","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-26"
"TH-1489","หน่วยสังเกตเป็นอิสระ หรือมีการจับคู่หรือจัดกลุ่มที่ต้องสร้างแบบจำลอง","PowerPoint เท่านั้น","agy","4","3","ขาดคำว่า 'ต่อกัน' ทำให้ความหมายทางสถิติไม่สมบูรณ์","หน่วยสังเกตเป็นอิสระต่อกัน หรือมีการจับคู่หรือจัดกลุ่มที่ต้องนำมาสร้างแบบจำลอง","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-50"
"TH-1493","ตรวจรูปแบบข้อมูลและเศษเหลือ ไม่ใช้การทดสอบการแจกแจงปกติเพียงอย่างเดียว","PowerPoint เท่านั้น","agy","4","3","ใช้คำว่า 'เศษเหลือ' แทนศัพท์สถิติ 'ค่าส่วนเหลือ' (residuals)","ตรวจรูปแบบข้อมูลและค่าส่วนเหลือ ไม่ใช้การทดสอบการแจกแจงปกติเพียงอย่างเดียว","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-50"
"TH-1503","เหมาะกับการใช้เมนูและงานพื้นฐาน ควรตรวจตัวเลือกของ Welch การทดสอบแบบคำนวณค่าที่แน่นอน และการวินิจฉัยแบบจำลอง","PowerPoint เท่านั้น","Claude","3","4","การทดสอบแบบคำนวณค่าที่แน่นอนแปลตรงตัวจาก exact test ฟังไม่เป็นธรรมชาติ","ใช้ การทดสอบแบบ exact (exact test) แทน","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-51"
"TH-1519","เครื่องมือและ AI อย่างรับผิดชอบ","PowerPoint เท่านั้น","Claude","3","4","ขาดคำกริยานำหน้า อ่านเป็นวลีห้วนไม่ใช่หัวเรื่องที่สมบูรณ์","ใช้เครื่องมือและ AI อย่างรับผิดชอบ","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-53"
"TH-1542","เอกสารเหล่านี้เปลี่ยนความโปร่งใสจากความตั้งใจให้เป็นหลักฐานการทำงาน","PowerPoint เท่านั้น","Claude","3","4","เปลี่ยนความโปร่งใสจากความตั้งใจให้เป็นหลักฐานการทำงาน เป็นสำนวนแปลตรงตัวอ่านฝืด","เอกสารเหล่านี้เปลี่ยนความโปร่งใสจากสิ่งที่ตั้งใจไว้ให้กลายเป็นหลักฐานที่จับต้องได้","workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-60"
